record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
indicator,derived:reserve-total,Rezerv Toplam,,,,,,,,theme:reserves,,evds:TP.AB.C1|evds:TP.AB.C2,,Rezerv altin ve rezerv doviz toplamindan uretilir.,weekly,usd_bn,Toplam rezerv seviyesini izler.,,,,,,,,
indicator,derived:reserve-gold,Rezerv Altin,,,,,,,,theme:reserves,,evds:TP.AB.C1,,,weekly,usd_bn,Altin rezerv seviyesini izler.,,,,,,,,
indicator,derived:reserve-fx,Rezerv Doviz,,,,,,,,theme:reserves,,evds:TP.AB.C2,,,weekly,usd_bn,Doviz rezerv seviyesini izler.,,,,,,,,
indicator,derived:net-reserve-standby,Net Rezerv Stand-By,,,,,,,,theme:reserves|theme:net-reserve-estimate,,evds:TP.AB.N06|evds:TP.DK.USD.A.YTL,,Net rezerv TL serisinin USD cinsine cevrilmis stand-by tanimi.,weekly,usd_bn,Stand-by tanimli net rezerv seviyesini izler.,,,,,,,,
indicator,derived:estimated-net-reserve,Tahmini Net Rezerv,,,,,,,,theme:net-reserve-estimate,,evds:TP.AB.A02|evds:TP.AB.A10|evds:TP.AB.A11|evds:TP.AB.A13|evds:TP.AB.A14|evds:TP.DK.USD.A.YTL|source:rzrv-manual-swap-ledger,,Dis varlik ve yukumluluk bloklarindan tahmini net rezerv uretir.,daily,usd_bn,Tahmini net rezerv seviyesini izler.,,,,,,,,
indicator,derived:swap-adjusted-net-reserve,Swap Haric Net Rezerv,,,,,,,,theme:net-reserve-estimate,,derived:estimated-net-reserve|source:rzrv-swap-pdf,,Tahmini net rezervden swap kalemleri dusulur.,daily,usd_bn,Swap duzeltilmis net rezerv seviyesini izler.,,,,,,,,
indicator,derived:gold-share-in-reserves,Altin Payi,,,,,,,,theme:reserves,,evds:TP.AB.C1|evds:TP.AB.C2,,Altin rezervinin toplam rezerv icindeki payi.,weekly,ratio,Rezerv kompozisyonunda altin agirligini izler.,,,,,,,,
theme,theme:reserves,Rezervler,,,,,Brut rezerv ve kompozisyon temasi,,,,derived:reserve-total|derived:reserve-gold|derived:reserve-fx|derived:net-reserve-standby|derived:gold-share-in-reserves,,,,,,,,evds:TP.AB.A02|evds:TP.AB.A10|evds:TP.AB.A11|evds:TP.AB.A13|evds:TP.AB.A14|evds:TP.AB.C1|evds:TP.AB.C2|evds:TP.AB.N06|evds:TP.DK.USD.A.YTL|evds:TP.DOVVARNC.K18,source:rzrv-swap-pdf,,,,,
theme,theme:net-reserve-estimate,Tahmini Net Rezerv,,,,,Swap duzeltilmis net rezerv anlatisi,,,,derived:estimated-net-reserve|derived:swap-adjusted-net-reserve|derived:net-reserve-standby,,,,,,,,evds:TP.AB.A02|evds:TP.AB.A10|evds:TP.AB.A11|evds:TP.AB.A13|evds:TP.AB.A14|evds:TP.AB.C1|evds:TP.AB.C2|evds:TP.AB.N06|evds:TP.DK.USD.A.YTL|evds:TP.DOVVARNC.K18,source:rzrv-swap-pdf|source:rzrv-manual-swap-ledger,,,,,
source_dependency,source:rzrv-swap-pdf,TCMB swap PDF,,,,,TCMB swap islemleri PDF tablosu,Swap tarafli net rezerv hesaplarinda kullanilir.,,,,,,,,,,,,,,pdf_table,required_input,,
source_dependency,source:rzrv-manual-swap-ledger,Manuel swap ledger,,,,,Notebook icindeki manuel swap tutari tablosu,Tahmini net rezerv hesabinda diger ulke MB swap kalemini besler.,,,,,,,,,,,,,,manual_inline,required_input,,
