record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO2.1,1.TOPLAM MEVDUAT,TP.HPBITABLO2.1,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.1 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.HPBITABLO2.1,Inferred notebook role: stock_total,theme:dth
series,evds:TP.HPBITABLO2.13,1.2.Yurt İçi Yerleşik Bankalar,TP.HPBITABLO2.13,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.13,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.14,1.2.1.TL,TP.HPBITABLO2.14,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.14,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.15,1.2.2.YP,TP.HPBITABLO2.15,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.15,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.16,1.3.Yurt Dışı Yerleşikler,TP.HPBITABLO2.16,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.16,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.17,1.3.1.TL,TP.HPBITABLO2.17,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.17 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.17,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.18,1.3.2.YP,TP.HPBITABLO2.18,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.18 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.18,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.19,1.4.Yurt Dışı Yerleşik Bankalar,TP.HPBITABLO2.19,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.19 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.19,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.20,1.4.1.TL,TP.HPBITABLO2.20,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.20,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.21,1.4.2.YP,TP.HPBITABLO2.21,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.21,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.22,2.TOPLAM KREDİ,TP.HPBITABLO2.22,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.22 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.22,Inferred notebook role: stock_total,theme:dth
series,evds:TP.HPBITABLO2.23,2.1.Yurt İçi Yerleşikler,TP.HPBITABLO2.23,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.23 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.23,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.24,2.1.1.TL,TP.HPBITABLO2.24,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.24,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.28,2.1.2.YP,TP.HPBITABLO2.28,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.28 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.28,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.32,2.2.Yurt İçi Yerleşik Finansal Kuruluşlar,TP.HPBITABLO2.32,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.32 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.32,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.33,2.2.1.TL,TP.HPBITABLO2.33,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.33 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.33,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.34,2.2.2.YP,TP.HPBITABLO2.34,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.34 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.34,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO3.1,1.TOPLAM TL MEVDUAT,TP.HPBITABLO3.1,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO3.1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO3.1,Inferred notebook role: dormant_candidate,theme:dth
series,evds:TP.HPBITABLO3.2,1.1.Yurt İçi Yerleşikler,TP.HPBITABLO3.2,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO3.2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO3.2,Inferred notebook role: dormant_candidate,theme:dth
series,evds:TP.HPBITABLO3.18,1.2.Yurt İçi Yerleşik Bankalar,TP.HPBITABLO3.18,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO3.18 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO3.18,Inferred notebook role: dormant_candidate,theme:dth
series,evds:TP.HPBITABLO3.21,1.3.Yurt Dışı Yerleşikler,TP.HPBITABLO3.21,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO3.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO3.21,Inferred notebook role: dormant_candidate,theme:dth
series,evds:TP.HPBITABLO3.24,1.4.Yurt Dışı Yerleşik Bankalar,TP.HPBITABLO3.24,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO3.24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO3.24,Inferred notebook role: dormant_candidate,theme:dth
series,evds:TP.HPBITABLO4.1,1.TOPLAM YP MEVDUAT,TP.HPBITABLO4.1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.1,Inferred notebook role: stock_total,theme:dth
series,evds:TP.HPBITABLO4.2,1.1.Yurt İçi Yerleşikler,TP.HPBITABLO4.2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.2 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.HPBITABLO4.2,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.3,1.1.1.Gerçek Kişiler,TP.HPBITABLO4.3,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.3,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO4.4,1.1.1.a.ABD Doları,TP.HPBITABLO4.4,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.4,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.5,1.1.1.b.Euro - ABD Doları Karşılığı,TP.HPBITABLO4.5,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.5,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.6,1.1.1.c.Diğer - ABD Doları Karşılığı,TP.HPBITABLO4.6,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.6 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.6,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.7,1.1.1.d.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.7,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.7,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.8,1.1.2.Tüzel Kişiler,TP.HPBITABLO4.8,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.8,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO4.9,1.1.2.a.ABD Doları,TP.HPBITABLO4.9,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.9 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.9,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.10,1.1.2.b.Euro - ABD Doları Karşılığı,TP.HPBITABLO4.10,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.10 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.10,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.11,1.1.2.c.Diğer - ABD Doları Karşılığı,TP.HPBITABLO4.11,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.11,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.12,1.1.2.d.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.12,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.13,1.2.Yurt İçi Yerleşik Bankalar,TP.HPBITABLO4.13,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.13,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.14,TP.HPBITABLO4.14,TP.HPBITABLO4.14,,weekly,,Semantic proposal for evds:TP.HPBITABLO4.14 | Confidence: 0.6 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.15,TP.HPBITABLO4.15,TP.HPBITABLO4.15,,weekly,,Semantic proposal for evds:TP.HPBITABLO4.15 | Confidence: 0.25 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.16,1.3.Yurt Dışı Yerleşikler,TP.HPBITABLO4.16,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.16,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.17,1.3.1.ABD Doları,TP.HPBITABLO4.17,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.17 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.17,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.18,1.3.2.Euro - ABD Doları Karşılığı,TP.HPBITABLO4.18,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.18 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.18,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.19,1.3.3.Diğer - ABD Doları Karşılığı,TP.HPBITABLO4.19,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.19 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.19,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.20,1.3.4.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.20,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.20,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO4.21,1.4.Yurt Dışı Yerleşik Bankalar,TP.HPBITABLO4.21,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.21,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO5.12,2.Parite Etkisi (Yurt İçi Yerleşikler),TP.HPBITABLO5.12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.12,Inferred notebook role: parity_effect_input,theme:dth
